,league,league_level,country,continent,num_operators_day,date,start_time,year,months,rank_week,day,weekday,day_time,freq_weekday_day_time,freq_rank_week_day_time,freq_month_day_time,start_time_interval,GLnum_matches_interval,Totlnum_match_y_m_wd_int,issue
0,New Zealand Provincial Championship Women,4,New Zealand,Oceania,13,2022-06-06,12:50:00 AM,2022,Jun,1,6,Monday,early morning,2,18,20,00:00 - 1:59,2,41,1
1,New Zealand Provincial Championship U21,4,New Zealand,Oceania,13,2022-06-06,1:10:00 AM,2022,Jun,1,6,Monday,early morning,2,18,20,00:00 - 1:59,2,41,1
2,New Zealand Provincial Championship Women,4,New Zealand,Oceania,6,2022-06-05,1:30:00 AM,2022,Jun,1,5,Sunday,early morning,10,18,20,00:00 - 1:59,5,77,1
3,New Zealand Provincial Championship Women,4,New Zealand,Oceania,6,2022-06-05,1:30:00 AM,2022,Jun,1,5,Sunday,early morning,10,18,20,00:00 - 1:59,5,77,1
4,New Zealand Provincial Championship U21,4,New Zealand,Oceania,6,2022-06-05,1:30:00 AM,2022,Jun,1,5,Sunday,early morning,10,18,20,00:00 - 1:59,5,77,1
5,New Zealand Provincial Championship Women U21,4,New Zealand,Oceania,6,2022-06-05,1:30:00 AM,2022,Jun,1,5,Sunday,early morning,10,18,20,00:00 - 1:59,5,77,1
6,New Zealand Provincial Championship,4,New Zealand,Oceania,6,2022-06-05,1:30:00 AM,2022,Jun,1,5,Sunday,early morning,10,18,20,00:00 - 1:59,5,77,1
7,New Zealand Provincial Championship Women,4,New Zealand,Oceania,4,2021-06-06,1:00:00 AM,2021,Jun,1,6,Sunday,early morning,10,18,20,00:00 - 1:59,4,49,0
8,New Zealand Provincial Championship Women,4,New Zealand,Oceania,4,2021-06-06,1:00:00 AM,2021,Jun,1,6,Sunday,early morning,10,18,20,00:00 - 1:59,4,49,1
9,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-06,1:00:00 AM,2021,Jun,1,6,Sunday,early morning,10,18,20,00:00 - 1:59,4,49,0
10,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-06,1:00:00 AM,2021,Jun,1,6,Sunday,early morning,10,18,20,00:00 - 1:59,4,49,0
11,New Zealand Provincial Championship Women,4,New Zealand,Oceania,8,2022-06-04,1:30:00 AM,2022,Jun,1,4,Saturday,early morning,8,18,20,00:00 - 1:59,4,71,1
12,New Zealand Provincial Championship U21,4,New Zealand,Oceania,8,2022-06-04,1:30:00 AM,2022,Jun,1,4,Saturday,early morning,8,18,20,00:00 - 1:59,4,71,1
