,match_id,venue_id,league,classification,country,continent,num_operators_day,date,start_time,year,months,rank_week,day,weekday,day_time,freq_weekday_day_time,freq_rank_week_day_time,freq_month_day_time,2h_interval,GLnum_matches_interval,Totalnum_matches_interval,issue
0,50900700,140309,New Zealand Provincial Championship Women,4,New Zealand,Oceania,13,2022-06-06,12:50:00 AM,2022,Jun,1,6,Monday,early morning,2,18,20,00:00 - 1:59,2,41,1
1,50904870,140413,New Zealand Provincial Championship U21,4,New Zealand,Oceania,13,2022-06-06,1:10:00 AM,2022,Jun,1,6,Monday,early morning,2,18,20,00:00 - 1:59,2,41,1
2,50756265,140309,New Zealand Provincial Championship Women,4,New Zealand,Oceania,6,2022-06-05,1:30:00 AM,2022,Jun,1,5,Sunday,early morning,10,18,20,00:00 - 1:59,5,77,1
3,50616540,140322,New Zealand Provincial Championship Women,4,New Zealand,Oceania,6,2022-06-05,1:30:00 AM,2022,Jun,1,5,Sunday,early morning,10,18,20,00:00 - 1:59,5,77,1
4,50635620,140387,New Zealand Provincial Championship U21,4,New Zealand,Oceania,6,2022-06-05,1:30:00 AM,2022,Jun,1,5,Sunday,early morning,10,18,20,00:00 - 1:59,5,77,1
5,50675790,140413,New Zealand Provincial Championship Women U21,4,New Zealand,Oceania,6,2022-06-05,1:30:00 AM,2022,Jun,1,5,Sunday,early morning,10,18,20,00:00 - 1:59,5,77,1
6,50565795,140335,New Zealand Provincial Championship,4,New Zealand,Oceania,6,2022-06-05,1:30:00 AM,2022,Jun,1,5,Sunday,early morning,10,18,20,00:00 - 1:59,5,77,1
7,33233115,140309,New Zealand Provincial Championship Women,4,New Zealand,Oceania,4,2021-06-06,1:00:00 AM,2021,Jun,1,6,Sunday,early morning,10,18,20,00:00 - 1:59,9,49,0
8,33233100,140335,New Zealand Provincial Championship Women,4,New Zealand,Oceania,4,2021-06-06,1:00:00 AM,2021,Jun,1,6,Sunday,early morning,10,18,20,00:00 - 1:59,9,49,1
9,33232920,140322,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-06,1:00:00 AM,2021,Jun,1,6,Sunday,early morning,10,18,20,00:00 - 1:59,9,49,0
10,33232935,140296,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-06,1:00:00 AM,2021,Jun,1,6,Sunday,early morning,10,18,20,00:00 - 1:59,9,49,0
11,50616465,140296,New Zealand Provincial Championship Women,4,New Zealand,Oceania,8,2022-06-04,1:30:00 AM,2022,Jun,1,4,Saturday,early morning,8,18,20,00:00 - 1:59,8,71,1
12,50635530,140413,New Zealand Provincial Championship U21,4,New Zealand,Oceania,8,2022-06-04,1:30:00 AM,2022,Jun,1,4,Saturday,early morning,8,18,20,00:00 - 1:59,8,71,1
13,50630115,140387,New Zealand Provincial Championship Women U21,4,New Zealand,Oceania,8,2022-06-04,1:30:00 AM,2022,Jun,1,4,Saturday,early morning,8,18,20,00:00 - 1:59,8,71,0
14,50565645,140322,New Zealand Provincial Championship,4,New Zealand,Oceania,8,2022-06-04,1:30:00 AM,2022,Jun,1,4,Saturday,early morning,8,18,20,00:00 - 1:59,8,71,1
15,33175125,140296,New Zealand Provincial Championship Women,4,New Zealand,Oceania,4,2021-06-05,1:00:00 AM,2021,Jun,1,5,Saturday,early morning,8,18,20,00:00 - 1:59,6,18,0
16,33174915,140322,New Zealand Provincial Championship Women,4,New Zealand,Oceania,4,2021-06-05,1:00:00 AM,2021,Jun,1,5,Saturday,early morning,8,18,20,00:00 - 1:59,6,18,0
17,33171120,140309,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-05,1:00:00 AM,2021,Jun,1,5,Saturday,early morning,8,18,20,00:00 - 1:59,6,18,0
18,33751890,140322,New Zealand National League,4,New Zealand,Oceania,4,2021-06-27,12:30:00 AM,2021,Jun,4,27,Sunday,early morning,10,2,20,00:00 - 1:59,9,49,0
19,33752700,140322,New Zealand National League Women,4,New Zealand,Oceania,4,2021-06-26,12:30:00 AM,2021,Jun,4,26,Saturday,early morning,8,2,20,00:00 - 1:59,6,18,0
20,50905470,140413,New Zealand Provincial Championship U21,4,New Zealand,Oceania,13,2022-06-06,2:00:00 AM,2022,Jun,1,6,Monday,early morning,3,19,21,2:00 - 3:59,3,35,1
21,50906715,140387,New Zealand Provincial Championship Women U21,4,New Zealand,Oceania,13,2022-06-06,2:00:00 AM,2022,Jun,1,6,Monday,early morning,3,19,21,2:00 - 3:59,3,35,0
22,50904750,140387,New Zealand Provincial Championship Women U21,4,New Zealand,Oceania,13,2022-06-06,3:40:00 AM,2022,Jun,1,6,Monday,early morning,3,19,21,2:00 - 3:59,3,35,1
