league,clasificacion
[Test] Volleyball,
Albania Superliga,D
Albania Superliga Women,D
Austria Cup,C
Austria Cup Women,C
Austria League,B
Austria League Promotion/Relegation,B
Austria League Promotion/Relegation Women,C
Austria League Women,C
Belgium Cup,C
Belgium Liga A,B
Bulgaria National League Women,D
Bulgaria Superliga,D
Bulgaria Vysha Liga,D
Czech Cup,C
Czech Republic Cup Women,C
Danish Cup,C
Danish Cup Women,C
Del Monte Coppa Italia A3,D
Denmark Volleyligaen,B
Denmark Volleyligaen Women,C
Extraliga Zeny,C
Finland Cup,C
Finland Cup Women,C
Finland Mestaruusliiga,B
Finland Mestaruusliiga Promotion/Relegation Women,C
Finland Mestaruusliiga Women,C
France Cup,B
France Cup Women,B
France Ligue A,A
France Ligue A Women,A
France Ligue B,C
France Super Cup,A
France Super Cup Women,A
Iceland 1. Division Women,C
Iceland Cup,D
Iceland Cup Women,D
Iceland Mizunodeild KK,C
Iceland Mizunodeild Women,D
Iceland Super Cup,C
Iceland Super Cup Women,C
Italy Serie A3,C
Middle European League,D
New Zealand National League,D
New Zealand National League Women,D
New Zealand Provincial Championship,D
New Zealand Provincial Championship U21,D
New Zealand Provincial Championship Women,D
New Zealand Provincial Championship Women U21,D
Portugal Cup,D
Portugal Cup Women,D
Portugal I Divisão,D
Portugal I Divisão Women,D
Portugal II Divisão Women,D
Portugal Super Cup,D
Portugal Super Cup Women,D
Slovakia Cup,C
Slovakia Cup Women,C
Slovakia Extraliga,C
Slovakia Extraliga Women,C
Slovenia 1. Dol Playoffs,C
Slovenia 1. Dol Playoffs Women,C
Slovenia 1A. Dol,C
Slovenia 1A. Dol Women,C
Slovenian Cup,C
Slovenian Women's Cup,C
Sweden Eliteserien,B
Sweden Eliteserien Promotion/Relegation Women,B
Sweden Eliteserien Women,C
Sweden National Cup,C
Sweden National Cup Women,C
Ukraine Cup,D
Ukraine Cup Women,D
Ukraine First League,D
Ukraine First League Women,D
Ukraine Higher League,D
Ukraine Higher League Promotion/Relegation Women,D
Ukraine Higher League Women,D
Ukraine Super Cup,C
Ukraine Super Liga,D
Ukraine Super Liga Promotion/Relegation,D
Ukraine Super Liga Women,D
Ukraine Super Liga Women Promotion/Relegation,D
UNIQA Extraliga,C
Womens Middle European League,D
