YEAR,MONTH,DAY_NAME,INTERVAL_TIME,PRODUCTION_METHOD,Count
2020,Sep,Sunday,10:00 - 11:59,Genius Live Production,7
2020,Sep,Sunday,10:00 - 11:59,MyCujoo,5
2020,Sep,Sunday,10:00 - 11:59,Third Party,18
2020,Sep,Sunday,12:00 - 13:59,Third Party,38
2020,Sep,Sunday,14:00 - 15:59,Genius Live Production,13
2020,Sep,Sunday,14:00 - 15:59,Third Party,50
2020,Sep,Sunday,16:00 - 17:59,Genius Live Production,3
2020,Sep,Sunday,16:00 - 17:59,Third Party,5
2020,Sep,Sunday,18:00 - 19:59,Genius Live Production,1
2020,Sep,Sunday,18:00 - 19:59,Third Party,4
2020,Sep,Sunday,20:00 - 21:59,MyCujoo,1
2020,Sep,Sunday,20:00 - 21:59,Third Party,1
2020,Sep,Sunday,22:00 - 23:59,MyCujoo,1
2020,Sep,Sunday,4:00 - 5:59,Third Party,4
2020,Sep,Sunday,6:00 - 7:59,Genius Live Production,4
2020,Sep,Sunday,6:00 - 7:59,Third Party,13
2020,Sep,Sunday,8:00 - 9:59,Genius Live Production,4
2020,Sep,Sunday,8:00 - 9:59,MyCujoo,8
2020,Sep,Sunday,8:00 - 9:59,Third Party,3
2020,Sep,Monday,10:00 - 11:59,Third Party,21
2020,Sep,Monday,12:00 - 13:59,Third Party,23
2020,Sep,Monday,14:00 - 15:59,Genius Live Production,1
2020,Sep,Monday,14:00 - 15:59,Third Party,7
2020,Sep,Monday,16:00 - 17:59,Genius Live Production,1
2020,Sep,Monday,16:00 - 17:59,Third Party,7
2020,Sep,Monday,18:00 - 19:59,Third Party,6
2020,Sep,Monday,2:00 - 3:59,Third Party,3
2020,Sep,Monday,6:00 - 7:59,Third Party,16
2020,Sep,Monday,8:00 - 9:59,MyCujoo,3
2020,Sep,Monday,8:00 - 9:59,Third Party,19
2020,Sep,Tuesday,10:00 - 11:59,MyCujoo,3
2020,Sep,Tuesday,10:00 - 11:59,Third Party,23
2020,Sep,Tuesday,12:00 - 13:59,MyCujoo,1
2020,Sep,Tuesday,12:00 - 13:59,Third Party,19
2020,Sep,Tuesday,14:00 - 15:59,Third Party,4
2020,Sep,Tuesday,16:00 - 17:59,Genius Live Production,1
2020,Sep,Tuesday,16:00 - 17:59,Third Party,9
2020,Sep,Tuesday,18:00 - 19:59,Third Party,6
2020,Sep,Tuesday,20:00 - 21:59,Third Party,1
2020,Sep,Tuesday,22:00 - 23:59,Third Party,2
2020,Sep,Tuesday,6:00 - 7:59,Third Party,21
2020,Sep,Tuesday,8:00 - 9:59,MyCujoo,6
2020,Sep,Tuesday,8:00 - 9:59,Third Party,25
2020,Sep,Wednesday,00:00 - 1:59,Third Party,4
2020,Sep,Wednesday,10:00 - 11:59,MyCujoo,3
2020,Sep,Wednesday,10:00 - 11:59,Third Party,2
2020,Sep,Wednesday,12:00 - 13:59,Third Party,2
2020,Sep,Wednesday,14:00 - 15:59,Third Party,4
2020,Sep,Wednesday,16:00 - 17:59,Genius Live Production,4
