date,time,interval,GS_id,id,fixture_name,continent,country,league_id,league,state,issue_origin,issue_severity,description,venue_id,venue_name
6/20/2022,7:30:00 AM,6:00 - 7:59,33708:51697380,51697380,Trento v Kataniia,Europe,Ukraine,13552,Ukraine Cup,Aborted,No issue related,No issue related,No issue related,0,Tv match
6/20/2022,10:00:00 AM,10:00 - 11:59,33708:51700620,51700620,Kataniia v Vitoria,Europe,Ukraine,13552,Ukraine Cup,Aborted,No issue related,No issue related,No issue related,0,Tv match
6/6/2022,12:50:00 AM,00:00 - 1:59,33428:50900700,50900700,Southland Women v Otago Women,Oceania,New Zealand,45439,New Zealand Provincial Championship Women,VOD,Internal,Critical,<p>the game had scoreboard issues</p>,140309,ASB Sports Centre Charlie
6/6/2022,1:10:00 AM,00:00 - 1:59,33428:50904870,50904870,Manukau Auckland U21 v WECA U21,Oceania,New Zealand,46726,New Zealand Provincial Championship U21,VOD,Internal,Critical,"<p>after the precheck, the team noticed that the scoreboard was not updating the match points, after some unsuccessful queries on Bartolomeo the entire match went without points.</p>",140413,ASB Sports Centre Foxtrot
6/6/2022,2:00:00 AM,2:00 - 3:59,33428:50906715,50906715,Waikato U21 Women v Wellington U21 Women,Oceania,New Zealand,46729,New Zealand Provincial Championship Women U21,VOD,No issue related,No issue related,No issue related,140387,ASB Sports Centre Echo
6/6/2022,2:00:00 AM,2:00 - 3:59,33428:50905470,50905470,Wellington U21 v Manawatu U21,Oceania,New Zealand,46726,New Zealand Provincial Championship U21,VOD,Internal,Critical,"<h1>&nbsp;the stream concluded too early, the third set was missed</h1><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p><p><img src=""https://issue-checklist-free-1.herocoders.com/images/issue-checklist-icon-grey.svg"" height=""24px"" width=""24px""></p><p><img src=""https://lref.bilith.com/static/img/gdrive_mono.svg"" height=""24px"" width=""24px""></p><p><img src=""https://static.tempo.io/io/non-versioned/img/tempo-logo-jira-grey.svg"" height=""24px"" width=""24px""></p><p><br></p><p><br></p><p><br></p><p><br></p>",140413,ASB Sports Centre Foxtrot
6/6/2022,3:40:00 AM,2:00 - 3:59,33428:50904750,50904750,Harbour U21 Women v Bay of Plenty U21 Women,Oceania,New Zealand,46729,New Zealand Provincial Championship Women U21,VOD,Internal,Critical,<h1>the game had scoreboard issues</h1><p><br></p>,140387,ASB Sports Centre Echo
6/6/2022,4:00:00 AM,4:00 - 5:59,33428:50905485,50905485,Harbour U21 v Bay of Plenty U21,Oceania,New Zealand,46726,New Zealand Provincial Championship U21,VOD,Internal,Critical,<h1>the game had scoreboard issues</h1><p><br></p>,140413,ASB Sports Centre Foxtrot
6/5/2022,1:30:00 AM,00:00 - 1:59,33428:50675790,50675790,Bay of Plenty U21 Women v Manukau Auckland U21 Women,Oceania,New Zealand,46729,New Zealand Provincial Championship Women U21,VOD,Internal,Critical,<p>Scoreboard got stuck in the 4th set</p>,140413,ASB Sports Centre Foxtrot
6/5/2022,1:30:00 AM,00:00 - 1:59,33428:50565795,50565795,Manukau Auckland v Hawkes Bay,Oceania,New Zealand,45430,New Zealand Provincial Championship,VOD,Internal,Minor,"<p>The first few minutes of the match with the wrong scoreboard, as it's a back-to-back match situation.</p>",140335,ASB Sports Centre Alpha
6/5/2022,1:30:00 AM,00:00 - 1:59,33428:50756265,50756265,Otago Women v Southland Women,Oceania,New Zealand,45439,New Zealand Provincial Championship Women,VOD,Internal,Critical,"<p>Missing the start of the match due to a back-to-back match situation. Also, the scoreboard was stuck for the majority of the match</p>",140309,ASB Sports Centre Charlie
6/5/2022,1:30:00 AM,00:00 - 1:59,33428:50616540,50616540,Waikato Women v WECA Women,Oceania,New Zealand,45439,New Zealand Provincial Championship Women,VOD,Internal,Critical,"<p>First 5 minutes of the stream missed. Also, the scoreboard got stuck in the 5th set.</p>",140322,ASB Sports Centre Bravo
6/5/2022,1:30:00 AM,00:00 - 1:59,33428:50635620,50635620,Wellington U21 v Bay of Plenty U21,Oceania,New Zealand,46726,New Zealand Provincial Championship U21,VOD,Internal,Critical,<p>The first 10 minutes of the match were missed due to a back-to-back matches situation and high stream concurrency at the time.</p>,140387,ASB Sports Centre Echo
6/5/2022,3:20:00 AM,2:00 - 3:59,33428:50616555,50616555,Canterbury Women v Tasman Women,Oceania,New Zealand,45439,New Zealand Provincial Championship Women,VOD,Internal,Critical,"<p>There was an incorrect scoreboard at the start of the match, as it's a back-to-back match situation</p>",140322,ASB Sports Centre Bravo
6/5/2022,3:20:00 AM,2:00 - 3:59,33428:50630205,50630205,Harbour U21 Women v Waikato U21 Women,Oceania,New Zealand,46729,New Zealand Provincial Championship Women U21,VOD,Internal,Critical,"<p>There was an incorrect scoreboard at the start of the match or for the whole match, as it's a back-to-back match situation</p>",140413,ASB Sports Centre Foxtrot
6/5/2022,3:20:00 AM,2:00 - 3:59,33428:50635635,50635635,Manawatu U21 v Harbour U21,Oceania,New Zealand,46726,New Zealand Provincial Championship U21,VOD,No issue related,No issue related,No issue related,140387,ASB Sports Centre Echo
